"Datum","Laatste","Open","Hoog","Laag","Vol.","+/- %"
"01-05-2025","6,99","6,99","6,99","6,99","","0,00%"
"01-04-2025","6,99","6,50","6,99","6,50","0,57K","-0,14%"
"01-03-2025","7,00","7,00","7,00","6,02","18,77K","0,14%"
"01-02-2025","6,99","6,95","7,00","6,01","10,63K","2,79%"
"01-01-2025","6,80","6,80","7,00","6,03","7,20K","12,40%"
"01-12-2024","6,05","6,55","6,80","6,05","2,68K","-7,63%"
"01-11-2024","6,55","6,65","6,80","6,50","8,67K","-3,82%"
"01-10-2024","6,81","6,60","6,94","6,50","13,72K","3,18%"
"01-09-2024","6,60","6,30","6,90","6,30","33,03K","3,12%"
"01-08-2024","6,40","6,21","6,43","6,20","3,51K","-0,47%"
"01-07-2024","6,43","6,45","6,49","5,87","7,46K","-0,16%"
"01-06-2024","6,44","5,74","6,44","5,51","15,57K","11,23%"
"01-05-2024","5,79","5,50","6,00","5,25","7,09K","5,46%"
"01-04-2024","5,49","5,19","5,49","5,03","47,82K","5,58%"
"01-03-2024","5,20","4,95","5,20","4,95","1,70K","0,00%"
"01-02-2024","5,20","4,90","5,20","4,50","54,64K","6,78%"
"01-01-2024","4,87","4,66","4,99","4,65","15,11K","-2,60%"
"01-12-2023","5,00","4,46","5,20","3,80","22,55K","-5,66%"
"01-11-2023","5,30","4,55","5,30","4,50","8,34K","7,07%"
"01-10-2023","4,95","5,05","5,60","4,00","133,23K","-6,60%"
"01-09-2023","5,30","5,09","5,30","5,00","4,15K","-0,93%"
"01-08-2023","5,35","5,19","5,44","5,13","0,55K","-1,65%"
"01-07-2023","5,44","5,31","5,44","5,00","5,48K","0,37%"
"01-06-2023","5,42","5,08","5,45","4,83","4,48K","-0,55%"
"01-05-2023","5,45","5,40","5,45","5,15","1,73K","0,00%"
"01-04-2023","5,45","5,45","5,45","5,07","7,67K","0,00%"
"01-03-2023","5,45","5,40","5,62","5,30","18,72K","-3,02%"
"01-02-2023","5,62","5,76","5,90","5,31","10,35K","-3,44%"
"01-01-2023","5,82","5,90","6,00","5,23","41,04K","-1,36%"
"01-12-2022","5,90","6,02","6,02","4,61","13,04K","-2,32%"
"01-11-2022","6,04","5,95","6,05","5,95","7,22K","0,00%"
"01-10-2022","6,04","6,60","6,60","5,73","33,01K","-7,79%"
"01-09-2022","6,55","6,34","7,08","6,34","274,35K","3,15%"
"01-08-2022","6,35","6,25","6,50","6,06","14,67K","1,60%"
"01-07-2022","6,25","6,06","6,25","5,96","15,45K","0,00%"
"01-06-2022","6,25","6,25","6,25","5,65","11,96K","3,31%"
"01-05-2022","6,05","6,09","6,25","6,00","11,92K","0,00%"
"01-04-2022","6,05","6,25","6,25","6,05","8,46K","0,50%"
"01-03-2022","6,02","6,80","6,80","6,02","6,26K","-11,47%"
"01-02-2022","6,80","6,97","7,49","6,80","16,06K","-3,41%"
"01-01-2022","7,04","7,43","7,43","6,75","10,79K","-6,13%"
"01-12-2021","7,50","7,09","7,50","7,00","9,26K","6,99%"
"01-11-2021","7,01","7,33","7,45","6,98","11,07K","-3,97%"
"01-10-2021","7,30","7,46","7,55","7,13","18,92K","-2,54%"
"01-09-2021","7,49","6,47","7,60","6,20","117,12K","14,18%"
"01-08-2021","6,56","6,20","7,00","5,95","45,16K","6,67%"
"01-07-2021","6,15","6,03","6,20","5,94","38,69K","3,36%"
"01-06-2021","5,95","5,80","6,45","5,80","38,53K","-0,83%"
"01-05-2021","6,00","5,00","6,00","4,82","142,90K","20,00%"
"01-04-2021","5,00","3,92","5,00","3,50","80,94K","30,21%"
"01-03-2021","3,84","3,60","4,00","3,40","42,56K","6,67%"
"01-02-2021","3,60","3,80","3,80","3,45","15,69K","-1,37%"
"01-01-2021","3,65","3,60","4,00","3,52","13,41K","-7,12%"
"01-12-2020","3,93","4,35","4,35","3,75","111,03K","-9,45%"
"01-11-2020","4,34","3,99","4,35","3,74","16,79K","3,58%"
"01-10-2020","4,19","3,82","4,19","3,67","8,61K","-3,68%"
"01-09-2020","4,35","4,00","4,35","3,81","13,36K","0,00%"
"01-08-2020","4,35","4,00","4,35","3,86","8,65K","8,48%"
"01-07-2020","4,01","4,24","4,35","4,00","4,26K","-7,82%"
"01-06-2020","4,35","4,65","4,69","4,31","1,62K","-7,45%"
"01-05-2020","4,70","4,31","4,79","4,30","5,87K","-1,05%"
"01-04-2020","4,75","4,98","4,98","4,32","2,78K","-5,00%"
"01-03-2020","5,00","6,00","6,00","3,98","11,99K","-15,97%"
"01-02-2020","5,95","6,10","6,16","5,53","11,76K","-2,46%"
"01-01-2020","6,10","6,01","6,29","5,93","15,00K","1,67%"
"01-12-2019","6,00","6,25","6,29","5,91","31,44K","-4,00%"
"01-11-2019","6,25","6,34","6,34","6,15","29,30K","-1,42%"
"01-10-2019","6,34","6,36","6,39","6,10","55,32K","2,26%"
"01-09-2019","6,20","6,24","6,42","6,15","24,58K","-1,43%"
"01-08-2019","6,29","6,61","6,61","6,00","24,03K","-4,98%"
"01-07-2019","6,62","6,73","6,73","6,51","13,99K","-1,78%"
"01-06-2019","6,74","7,01","7,01","6,69","42,45K","-6,39%"
"01-05-2019","7,20","7,25","7,33","6,99","6,12K","-0,69%"
"01-04-2019","7,25","7,39","7,39","6,85","38,73K","-2,03%"
"01-03-2019","7,40","7,13","7,48","7,13","52,44K","3,64%"
"01-02-2019","7,14","7,10","7,14","7,01","23,05K","0,56%"
"01-01-2019","7,10","7,09","7,11","6,78","16,73K","0,00%"
"01-12-2018","7,10","7,18","7,18","6,79","20,82K","-1,11%"
"01-11-2018","7,18","7,34","7,34","7,10","40,29K","-2,18%"
"01-10-2018","7,34","7,19","7,36","7,00","52,17K","1,94%"
"01-09-2018","7,20","7,20","7,31","7,10","57,63K","-2,57%"
"01-08-2018","7,39","7,34","7,40","7,12","18,12K","0,00%"
"01-07-2018","7,39","7,26","7,44","7,11","9,69K","1,79%"
"01-06-2018","7,26","7,35","7,77","7,11","11,94K","-1,22%"
"01-05-2018","7,35","7,50","7,60","7,01","23,02K","-2,65%"
"01-04-2018","7,55","7,60","7,60","7,45","18,04K","0,67%"
"01-03-2018","7,50","7,60","7,85","7,43","44,66K","-1,96%"
"01-02-2018","7,65","7,84","7,85","7,40","31,64K","-2,42%"
"01-01-2018","7,84","7,31","7,95","7,30","96,15K","5,95%"
"01-12-2017","7,40","6,95","7,40","6,95","16,49K","6,47%"
"01-11-2017","6,95","6,66","7,00","6,66","43,80K","0,72%"
"01-10-2017","6,90","6,95","7,00","6,57","27,23K","0,00%"
"01-09-2017","6,90","6,56","7,00","6,55","31,70K","1,47%"
"01-08-2017","6,80","6,55","6,80","6,45","85,91K","3,82%"
"01-07-2017","6,55","6,55","6,79","6,45","34,97K","-0,76%"
"01-06-2017","6,60","6,60","6,65","6,50","31,86K","-0,75%"
"01-05-2017","6,65","6,35","6,65","6,35","13,41K","0,76%"
"01-04-2017","6,60","6,40","6,68","6,25","39,99K","3,12%"
"01-03-2017","6,40","6,26","6,40","5,83","39,60K","2,24%"
"01-02-2017","6,26","5,90","6,34","5,85","36,54K","5,03%"
"01-01-2017","5,96","5,20","5,96","5,20","26,75K","10,37%"
"01-12-2016","5,40","5,05","5,40","5,00","32,94K","3,25%"
"01-11-2016","5,23","5,65","5,99","5,00","26,22K","-14,07%"
"01-10-2016","6,09","6,55","6,55","6,09","12,64K","-5,26%"
"01-09-2016","6,42","6,55","7,68","6,09","10,18K","1,30%"
"01-08-2016","6,34","6,18","6,51","6,18","10,36K","2,67%"
"01-07-2016","6,18","6,50","6,50","5,89","19,21K","-7,98%"
"01-06-2016","6,71","7,29","7,29","6,38","24,88K","-5,56%"
"01-05-2016","7,11","7,08","7,29","6,93","14,70K","0,35%"
"01-04-2016","7,08","7,00","7,36","6,78","17,73K","-2,27%"
"01-03-2016","7,25","7,21","7,25","7,00","4,06K","0,57%"
"01-02-2016","7,21","7,45","7,45","6,90","8,66K","-6,91%"
"01-01-2016","7,74","8,15","8,15","7,17","13,58K","-7,39%"
"01-12-2015","8,36","8,40","8,46","8,06","13,41K","-1,36%"
"01-11-2015","8,47","8,57","8,57","8,33","22,05K","-2,00%"
"01-10-2015","8,65","8,66","8,73","8,26","11,20K","-0,10%"
"01-09-2015","8,66","8,24","8,66","8,12","12,32K","1,06%"
"01-08-2015","8,57","8,61","8,61","7,67","36,25K","-0,48%"
"01-07-2015","8,61","8,32","8,61","8,16","52,24K","0,48%"
"01-06-2015","8,57","8,73","8,93","8,15","25,52K","-9,96%"
"01-05-2015","9,51","8,81","9,51","8,06","258,66K","8,04%"
"01-04-2015","8,80","7,58","8,80","7,58","78,11K","16,20%"
"01-03-2015","7,58","7,58","7,78","7,41","19,22K","-0,54%"
"01-02-2015","7,62","7,29","7,62","6,93","16,85K","0,54%"
"01-01-2015","7,58","6,95","7,58","6,84","16,05K","8,88%"
"01-12-2014","6,96","6,63","6,96","6,10","39,14K","6,56%"
"01-11-2014","6,53","6,38","6,59","6,07","30,68K","1,67%"
"01-10-2014","6,42","6,43","6,70","6,19","14,71K","-1,89%"
"01-09-2014","6,55","6,09","6,92","5,90","22,54K","7,43%"
"01-08-2014","6,09","6,18","6,34","6,09","25,19K","-1,46%"
"01-07-2014","6,19","6,47","6,80","6,18","19,86K","-4,70%"
"01-06-2014","6,49","6,18","7,03","6,10","36,56K","3,68%"
"01-05-2014","6,26","6,09","6,51","5,95","23,92K","2,70%"
"01-04-2014","6,09","5,97","6,17","5,87","18,36K","2,78%"
"01-03-2014","5,93","6,47","6,55","5,93","25,65K","-8,28%"
"01-02-2014","6,47","6,77","6,77","5,92","30,46K","-4,50%"
"01-01-2014","6,77","6,76","7,05","6,75","21,75K","-3,18%"
"01-12-2013","6,99","6,77","6,99","6,57","22,15K","3,28%"
"01-11-2013","6,77","7,10","7,40","6,76","14,88K","-5,30%"
"01-10-2013","7,15","7,41","7,49","6,92","37,95K","-3,02%"
"01-09-2013","7,37","7,73","7,74","7,25","65,46K","-5,19%"
"01-08-2013","7,77","7,09","7,77","6,84","37,37K","11,06%"
"01-07-2013","7,00","6,38","7,00","6,38","34,06K","6,25%"
"01-06-2013","6,59","7,26","7,26","5,93","41,17K","-10,11%"
"01-05-2013","7,33","7,17","7,33","7,17","34,26K","-0,34%"
"01-04-2013","7,35","7,20","7,49","7,02","40,19K","-5,00%"
"01-03-2013","7,74","7,29","7,74","6,59","45,77K","3,30%"
"01-02-2013","7,49","7,45","7,82","6,90","35,95K","-1,09%"
"01-01-2013","7,58","7,44","7,96","7,21","63,93K","-3,16%"
"01-12-2012","7,82","7,60","7,82","7,05","39,92K","0,00%"
"01-11-2012","7,82","7,91","8,03","7,07","28,69K","-7,32%"
"01-10-2012","8,44","7,13","8,57","7,13","18,15K","-3,21%"
"01-09-2012","8,72","6,88","8,85","6,88","33,16K","11,47%"
"01-08-2012","7,82","7,82","7,82","6,88","51,23K","-7,32%"
"01-07-2012","8,44","8,61","8,99","7,41","39,84K","-6,82%"
"01-06-2012","9,06","8,25","9,27","8,24","21,20K","-5,74%"
"01-05-2012","9,61","9,88","9,92","8,24","59,49K","-2,75%"
"01-04-2012","9,88","6,51","10,16","6,37","10,19K","59,36%"
"01-03-2012","6,20","6,54","6,59","6,14","38,19K","-5,28%"
"01-02-2012","6,55","5,53","6,55","5,53","15,78K","13,73%"
"01-01-2012","5,76","5,52","8,33","5,52","13,51K","4,33%"
"01-12-2011","5,52","5,52","5,52","5,52","25,18K","0,00%"
"01-11-2011","5,52","5,52","5,52","5,52","69,07K","0,00%"
"01-10-2011","5,52","5,52","5,52","5,52","26,76K","-76,78%"
"01-09-2008","23,77","23,69","24,14","23,60","112,66K","0,24%"
"01-08-2008","23,71","24,34","24,34","23,71","166,30K","-1,57%"
"01-07-2008","24,09","24,17","24,63","24,09","122,74K","-0,21%"
"01-06-2008","24,14","23,62","24,67","23,62","68,49K","1,07%"
"01-05-2008","23,88","23,04","23,88","22,93","78,33K","4,73%"
"01-04-2008","22,81","23,39","24,02","22,81","99,91K","-2,61%"
"01-03-2008","23,42","23,42","23,58","23,01","80,07K","1,21%"
"01-02-2008","23,14","22,56","23,42","22,56","188,67K","2,26%"
"01-01-2008","22,62","22,35","22,62","22,16","272,82K","2,31%"
"01-12-2007","22,11","22,66","22,80","22,11","73,57K","-1,90%"
"01-11-2007","22,54","22,06","22,55","21,87","147,35K","3,99%"
"01-10-2007","21,68","21,48","21,88","21,15","214,16K","1,08%"
"01-09-2007","21,45","21,36","21,55","21,17","126,29K","1,17%"
"01-08-2007","21,20","21,14","21,37","21,09","125,91K","-0,50%"
"01-07-2007","21,31","20,83","21,38","20,81","132,61K","1,45%"
"01-06-2007","21,00","20,15","21,06","20,15","258,59K","4,38%"
"01-05-2007","20,12","21,02","21,05","20,05","186,30K","-3,25%"
"01-04-2007","20,80","21,07","21,18","20,80","136,27K","-0,12%"
"01-03-2007","20,82","20,24","21,03","20,24","88,84K","3,22%"
"01-02-2007","20,17","20,33","20,57","20,10","88,32K","-0,24%"
"01-01-2007","20,22","20,76","20,81","20,10","123,01K","-2,31%"
"01-12-2006","20,70","20,26","20,84","20,23","67,31K","1,70%"
"01-11-2006","20,35","19,24","20,38","19,24","64,89K","6,10%"
"01-10-2006","19,18","18,94","19,40","18,94","19,19K","-16,39%"
"01-09-2006","22,94","23,35","23,39","22,88","41,11K","-1,71%"
"01-08-2006","23,34","22,80","23,40","22,71","70,93K","2,37%"
"01-07-2006","22,80","22,50","23,00","22,50","23,08K","1,33%"
"01-06-2006","22,50","22,65","22,70","22,19","15,14K","-0,35%"
"01-05-2006","22,58","22,65","22,94","22,47","96,51K","-0,31%"
"01-04-2006","22,65","23,06","23,13","22,49","45,67K","-0,66%"
"01-03-2006","22,80","22,79","23,18","22,53","25,82K","0,00%"
"01-02-2006","22,80","22,99","23,14","22,48","73,08K","-0,83%"
"01-01-2006","22,99","22,75","23,08","22,50","73,26K","0,83%"
"01-12-2005","22,80","21,50","22,95","21,34","63,88K","4,83%"
"01-11-2005","21,75","21,35","21,85","21,15","102,75K","-0,23%"
"01-10-2005","21,80","22,25","22,25","21,13","32,62K","-1,98%"
"01-09-2005","22,24","22,12","22,28","21,56","64,64K","0,54%"
"01-08-2005","22,12","21,95","22,12","21,50","41,04K","0,64%"
"01-07-2005","21,98","21,55","21,99","21,25","69,10K","1,29%"
"01-06-2005","21,70","21,68","21,73","21,22","84,48K","0,09%"
"01-05-2005","21,68","21,65","21,68","21,50","58,75K","0,14%"
"01-04-2005","21,65","21,65","21,65","21,46","94,78K","0,14%"
"01-03-2005","21,62","21,50","21,62","21,45","101,68K","0,56%"
"01-02-2005","21,50","21,31","21,50","21,22","120,87K","1,32%"
"01-01-2005","21,22","21,20","21,40","20,60","150,65K","0,09%"
"01-12-2004","21,20","20,20","21,20","19,65","39,46K","4,95%"
"01-11-2004","20,20","20,00","20,35","19,65","43,69K","1,00%"
"01-10-2004","20,00","20,35","20,40","19,65","107,23K","-1,72%"
"01-09-2004","20,35","20,40","20,40","20,05","49,90K","0,49%"
"01-08-2004","20,25","20,20","20,40","20,05","27,35K","0,00%"
"01-07-2004","20,25","20,05","20,40","19,60","27,78K","-0,49%"
"01-06-2004","20,35","20,05","20,35","19,60","21,97K","0,00%"
"01-05-2004","20,35","20,10","20,50","19,85","353,41K","1,75%"
"01-04-2004","20,00","20,05","20,35","19,60","19,99K","-0,25%"
"01-03-2004","20,05","20,05","20,25","20,00","4,82K","-0,25%"
"01-02-2004","20,10","20,02","20,25","19,99","33,15K","0,30%"
"01-01-2004","20,04","20,00","20,25","19,50","36,66K","-0,55%"
"01-12-2003","20,15","20,25","21,39","20,00","42,79K","-2,89%"