date,ABN AMRO BANK - DIVIDEND YIELD,ABN AMRO BANK - MRKT VALUE TO BOOK,ADYEN - DIVIDEND YIELD,ADYEN - MRKT VALUE TO BOOK,AEGON - DIVIDEND YIELD,AEGON - MRKT VALUE TO BOOK,KONINKLIJKE AHOLD DELHAIZE - DIVIDEND YIELD,KONINKLIJKE AHOLD DELHAIZE - MRKT VALUE TO BOOK,AKZO NOBEL - DIVIDEND YIELD,AKZO NOBEL - MRKT VALUE TO BOOK,ARCELORMITTAL - DIVIDEND YIELD,ARCELORMITTAL - MRKT VALUE TO BOOK,ASM INTERNATIONAL - DIVIDEND YIELD,ASM INTERNATIONAL - MRKT VALUE TO BOOK,ASML HOLDING - DIVIDEND YIELD,ASML HOLDING - MRKT VALUE TO BOOK,ASR NEDERLAND - DIVIDEND YIELD,ASR NEDERLAND - MRKT VALUE TO BOOK,BE SEMICONDUCTOR INDUSTRIES - DIVIDEND YIELD,BE SEMICONDUCTOR INDUSTRIES - MRKT VALUE TO BOOK,DSM FIRMENICH - DIVIDEND YIELD,DSM FIRMENICH - MRKT VALUE TO BOOK,EXOR NV ORD - DIVIDEND YIELD,HEINEKEN - DIVIDEND YIELD,HEINEKEN - MRKT VALUE TO BOOK,IMCD GROUP - DIVIDEND YIELD,IMCD GROUP - MRKT VALUE TO BOOK,ING GROEP - DIVIDEND YIELD,ING GROEP - MRKT VALUE TO BOOK,KPN KON - DIVIDEND YIELD,KPN KON - MRKT VALUE TO BOOK,NN GROUP - DIVIDEND YIELD,NN GROUP - MRKT VALUE TO BOOK,PHILIPS ELTN.KONINKLIJKE - DIVIDEND YIELD,PHILIPS ELTN.KONINKLIJKE - MRKT VALUE TO BOOK,PROSUS N - DIVIDEND YIELD,PROSUS N - MRKT VALUE TO BOOK,RANDSTAD - DIVIDEND YIELD,RANDSTAD - MRKT VALUE TO BOOK,RELX (AMS) - DIVIDEND YIELD,SHELL (AMS) - DIVIDEND YIELD,SHELL (AMS) - MRKT VALUE TO BOOK,UNIVERSAL MUSIC GROUP - DIVIDEND YIELD,UNIVERSAL MUSIC GROUP - MRKT VALUE TO BOOK,UNILEVER (UK) (AMS) - DIVIDEND YIELD,WOLTERS KLUWER - DIVIDEND YIELD,WOLTERS KLUWER - MRKT VALUE TO BOOK
11/26/2012,,,,,4.5,0.44,4.14,1.71,3.42,1.46,1.34,0.46,1.89,1.93,1.03,3.65,,,3.79,0.85,,,,1.73,2.44,,,0.0,0.47,15.42,2.66,,,3.58,1.71,,,5.21,1.61,,5.22,1.14,,,,4.68,2.86
12/26/2012,,,,,4.06,0.48,3.9,1.82,2.92,1.72,1.19,0.51,1.86,2.29,0.98,4.99,,,3.74,0.86,,,,1.72,2.46,,,0.0,0.47,3.16,2.25,,,3.57,1.71,,,4.54,1.85,,5.12,1.18,,,,4.37,3.06
1/26/2013,,,,,3.96,0.55,3.68,1.77,2.81,2.2,1.17,0.63,1.73,1.26,0.97,3.32,,,3.58,0.9,,,,1.67,2.61,,,0.0,0.59,2.83,1.46,,,3.23,1.89,,,4.13,1.79,,5.06,1.25,,,,4.49,2.92
2/26/2013,,,,,4.65,0.5,3.67,1.77,2.96,2.09,1.36,0.54,1.67,1.3,0.98,3.29,,,3.58,0.9,,,,1.61,2.8,,,0.0,0.48,4.39,0.94,,,3.53,1.81,,,3.9,1.9,,5.42,1.17,,,,4.57,2.92
3/26/2013,,,,,4.41,0.53,3.66,1.96,2.86,2.16,1.5,0.49,1.89,1.15,1.02,3.07,,,4.5,1.01,,,,1.48,3.03,,,0.0,0.46,4.36,0.95,,,3.22,1.99,,,3.83,1.93,,5.28,1.2,,,,4.05,3.29
4/26/2013,,,,,4.25,0.55,3.68,1.95,3.1,1.99,1.66,0.44,1.95,1.12,0.94,3.34,,,4.29,1.06,,,,1.66,2.71,,,0.0,0.5,0.0,1.58,,,3.52,1.82,,,3.89,1.96,,5.22,1.22,,,,4.09,3.25
5/26/2013,,,,,4.17,0.55,3.46,2.07,2.99,2.06,1.55,0.47,1.91,1.14,0.85,3.72,,,4.01,1.14,,,,1.6,2.81,,,0.0,0.57,0.0,1.68,,,3.21,1.96,,,3.73,2.04,,5.19,1.23,,,,4.1,3.25
6/26/2013,,,,,4.01,0.61,3.86,1.86,3.4,1.83,1.79,0.41,1.94,1.12,0.9,3.82,,,3.87,1.18,,,,1.81,2.48,,,0.0,0.56,0.0,1.54,,,3.46,1.82,,,3.94,1.93,,5.54,1.16,,,,4.34,3.07
7/26/2013,,,,,3.53,0.7,3.57,2.0,3.24,1.92,1.56,0.47,1.76,1.05,0.79,4.33,,,3.43,1.33,,,,1.76,2.56,,,0.0,0.61,0.0,1.94,,,2.99,2.11,,,3.39,2.25,,5.24,1.23,,,,3.81,3.49
8/26/2013,,,,,3.89,0.66,3.41,2.1,3.02,2.06,1.52,0.48,1.73,1.07,0.78,4.4,,,3.55,1.29,,,,1.75,2.66,,,0.0,0.7,0.0,2.39,,,3.02,2.08,,,3.42,2.23,,5.58,1.15,,,,3.71,3.59
9/26/2013,,,,,3.89,0.67,3.4,2.1,2.96,2.1,1.48,0.5,1.67,1.11,0.73,4.66,,,3.41,1.34,,,,1.75,2.65,,,0.0,0.69,0.0,2.42,,,2.96,2.04,,,3.06,2.49,,5.51,1.18,,,,3.59,3.71
10/26/2013,,,,,3.71,0.7,3.18,2.25,2.83,2.2,1.32,0.56,1.69,1.09,0.78,4.38,,,3.54,1.29,,,,1.82,2.56,,,0.0,0.76,0.0,2.36,,,2.81,2.15,,,2.86,2.67,,5.4,1.21,,,,3.41,3.9
11/26/2013,,,,,3.29,0.79,3.29,2.18,2.67,2.32,1.26,0.59,1.71,1.08,0.78,4.41,,,3.81,1.2,,,,1.84,2.53,,,0.0,0.77,0.0,2.44,,,2.8,2.16,,,2.77,2.76,,5.44,1.19,,,,3.33,4.0
12/26/2013,,,,,3.16,0.82,3.37,2.12,2.61,2.38,1.24,0.59,1.8,1.03,0.78,4.37,,,3.68,1.24,,,,1.92,2.42,,,0.0,0.81,0.0,2.38,,,2.74,2.21,,,2.68,2.85,,5.2,1.26,,,,3.32,4.01
1/26/2014,,,,,3.3,0.79,3.48,2.77,2.68,2.24,1.28,0.6,1.69,0.91,0.95,3.44,,,3.41,1.08,,,,1.94,2.2,,,0.0,0.76,0.0,3.31,,,2.73,2.29,,,2.7,2.48,,5.13,1.17,,,,3.28,3.01
2/26/2014,,,,,3.36,0.79,3.31,2.91,2.43,2.47,1.35,0.57,1.63,0.94,0.96,3.38,,,3.35,1.1,,,,1.83,2.26,,,0.0,0.8,0.0,3.2,,,3.15,2.19,,,2.12,2.41,,5.03,1.19,,,,3.39,2.96
3/26/2014,,,,,3.34,0.8,3.31,3.11,2.5,2.4,1.35,0.57,1.46,1.05,0.9,3.61,,,2.93,1.38,,,,1.85,2.23,,,0.0,0.76,0.0,3.08,,,3.2,2.16,,,2.24,2.27,,5.11,1.17,,,,3.46,2.9
4/26/2014,,,,,3.43,0.78,3.47,2.74,2.68,2.24,1.31,0.59,1.64,1.1,1.03,3.18,,,2.86,1.41,,,,1.79,2.31,,,0.0,0.75,0.0,3.02,,,3.45,2.0,,,2.22,2.29,,4.92,1.23,,,,3.51,2.86
5/26/2014,,,,,3.48,0.77,3.35,2.84,2.61,2.31,1.35,0.57,1.7,1.06,0.99,3.28,,,2.8,1.44,,,,1.73,2.39,,,0.0,0.78,0.0,3.3,,,3.39,2.04,,,2.24,2.3,,4.62,1.31,,,,3.26,3.08
6/26/2014,,,,,3.45,0.78,3.46,2.52,2.7,2.25,1.42,0.54,1.66,1.09,0.91,3.6,,,2.59,1.56,,,,1.71,2.41,0.0,2.07,0.0,0.79,0.0,3.19,,,3.6,1.96,,,2.4,2.15,,4.46,1.36,,,,3.23,3.11
7/26/2014,,,,,3.53,0.76,3.59,2.43,2.66,2.28,1.38,0.56,1.74,1.04,0.97,3.37,,,2.71,1.49,,,,1.66,2.49,0.0,2.22,0.0,0.77,0.0,2.89,0.0,0.37,3.39,2.08,,,2.62,1.97,,4.39,1.38,,,,3.3,3.04
8/26/2014,,,,,3.68,0.73,3.63,2.4,2.7,2.25,1.39,0.56,1.7,1.06,0.84,3.87,,,2.51,1.61,,,,1.55,2.66,0.0,2.24,0.0,0.8,0.0,3.06,0.0,0.38,3.41,2.07,,,2.62,1.97,,4.41,1.37,,,,3.32,3.02
9/26/2014,,,,,3.35,0.8,3.69,2.36,2.68,2.27,1.4,0.55,1.75,1.04,0.78,4.2,,,2.41,1.67,,,,1.52,2.72,0.0,2.19,0.0,0.86,0.0,3.05,0.0,0.4,3.18,2.22,,,2.56,2.02,,4.46,1.35,,,,3.35,3.0
10/26/2014,,,,,3.55,0.76,3.77,2.31,2.84,2.14,1.52,0.51,1.8,1.01,0.82,3.91,,,2.4,1.68,,,,1.56,2.64,0.0,2.02,0.0,0.86,0.84,2.93,0.0,0.38,3.77,1.87,,,2.8,1.84,,4.81,1.25,,,,3.44,2.92
11/26/2014,,,,,3.5,0.77,3.34,2.61,2.67,2.27,1.53,0.5,1.49,1.21,0.74,4.32,,,1.93,2.09,,,,1.44,2.86,0.0,2.19,0.0,0.89,0.76,3.25,0.0,0.42,3.38,2.04,,,2.37,2.17,,4.96,1.28,,,,3.01,3.33
12/26/2014,,,,,3.52,0.76,3.21,2.71,2.54,2.39,1.68,0.46,1.46,1.24,0.68,4.67,,,1.81,2.23,,,,1.5,2.76,0.0,2.54,0.0,0.84,0.76,3.24,0.0,0.43,3.32,2.07,,,2.35,2.2,,5.06,1.25,,,,2.73,3.67
1/26/2015,,,,,3.51,0.69,2.87,2.62,2.25,2.41,1.82,0.65,1.36,1.19,0.74,4.37,,,1.82,2.19,,,,1.36,2.79,0.0,2.1,0.0,0.92,0.74,2.97,0.0,0.42,2.99,2.15,,,2.06,2.15,,4.8,1.24,,,,2.62,3.27
2/26/2015,,,,,3.32,0.77,2.85,2.68,2.16,2.51,1.58,0.75,1.22,1.33,0.72,4.47,,,6.44,2.82,,,,1.58,2.97,0.0,2.31,0.9,1.07,2.3,3.33,0.0,0.44,3.01,2.13,,,2.45,2.46,,4.9,1.21,,,,2.46,3.52
3/26/2015,,,,,3.16,0.8,2.66,2.87,2.12,2.55,1.68,0.71,1.43,1.36,0.77,4.22,,,5.08,3.57,,,,1.54,3.03,0.63,2.42,0.89,1.09,2.17,3.54,0.0,0.45,3.07,2.09,,,2.36,2.55,,5.02,1.18,,,,2.38,3.64
4/26/2015,,,,,3.25,0.78,2.58,2.96,2.05,2.64,1.62,0.74,1.33,1.46,0.71,4.58,,,5.03,3.61,,,,1.51,3.11,0.58,2.64,0.86,1.13,2.04,3.77,0.0,0.46,2.92,2.19,,,2.34,2.57,,4.89,1.21,,,,2.37,3.66
5/26/2015,,,,,3.23,0.79,2.59,2.95,2.1,2.58,1.53,0.78,1.39,1.4,0.7,4.61,,,6.17,2.94,,,,1.52,3.07,0.6,2.7,0.81,1.2,2.1,3.65,0.0,0.45,3.19,2.01,,,2.42,2.53,,5.83,1.15,,,,2.48,3.49
6/26/2015,,,,,3.37,0.75,2.67,2.86,2.09,2.65,1.66,0.72,1.37,1.41,0.71,4.51,,,5.76,3.15,,,,1.56,2.99,0.6,2.66,0.77,1.25,2.01,3.82,0.0,0.44,3.4,1.92,,,2.19,2.78,,6.07,1.11,,,,2.51,3.45
7/26/2015,,,,,3.24,0.79,2.7,2.63,2.16,2.56,1.96,0.61,1.43,1.36,0.78,4.11,,,6.86,2.65,,,,1.52,3.08,0.6,2.69,0.77,1.26,1.98,3.88,0.0,0.48,3.31,1.98,,,2.07,2.95,,6.41,1.04,,,,2.51,3.46
8/26/2015,,,,,4.51,0.59,2.83,2.52,2.49,2.23,2.31,0.51,1.86,1.04,0.91,3.51,,,8.74,2.08,,,,1.72,2.93,0.64,2.52,2.27,1.07,3.44,3.63,3.91,0.46,3.6,1.81,,,2.3,2.65,,7.67,0.9,,,,1.95,3.36
9/26/2015,,,,,4.61,0.58,2.82,2.52,2.54,2.18,3.06,0.39,2.08,0.93,0.91,3.52,,,10.73,1.69,,,,1.65,3.05,0.64,2.52,2.33,1.04,3.32,3.76,3.98,0.43,3.74,1.74,,,2.42,2.53,,7.85,0.9,,,,1.93,3.39
10/26/2015,,,,,4.34,0.61,2.67,2.67,2.27,2.47,2.89,0.41,1.76,1.1,0.83,3.83,,,7.51,2.42,,,,1.47,3.41,0.58,2.78,2.23,1.09,3.35,3.73,3.63,0.47,3.38,1.93,,,2.51,2.43,,6.83,1.03,,,,1.75,3.73
11/26/2015,0.0,1.1,,,4.1,0.65,2.32,3.07,2.21,2.55,3.26,0.36,1.6,1.22,0.8,3.98,,,7.45,2.44,,,,1.39,3.61,0.59,2.72,2.3,1.05,3.19,3.92,3.17,0.54,3.09,2.11,,,2.21,2.76,,7.11,1.02,,,,1.63,4.0
12/26/2015,0.0,1.16,,,4.57,0.58,2.43,2.93,2.35,2.38,3.67,0.32,1.67,1.17,0.84,3.79,,,7.91,2.3,,,,1.49,3.38,0.6,2.67,2.39,1.02,3.33,3.76,3.19,0.54,3.36,1.9,,,2.22,2.75,,7.94,0.92,,,,1.73,3.78
1/26/2016,0.0,1.01,,,4.8,0.64,2.4,1.03,2.51,2.21,4.3,0.23,1.69,1.11,1.27,3.26,,,8.04,2.18,,,,1.53,3.36,0.63,2.33,2.81,0.83,3.29,5.88,3.32,0.46,3.32,1.78,,,2.59,2.2,,8.99,0.79,,,,1.76,3.49
2/26/2016,2.36,0.98,,,5.47,0.56,2.39,1.03,2.91,2.02,4.7,0.21,1.85,1.18,1.26,3.26,,,4.59,2.54,,,,1.75,3.24,0.6,2.41,6.02,0.84,3.42,5.66,5.29,0.42,3.45,1.71,,,3.53,2.1,,8.16,0.92,,,,2.22,3.9
3/26/2016,2.54,0.91,,,5.09,0.6,2.59,1.03,2.63,2.23,0.0,0.39,1.84,1.19,1.21,3.4,,,5.23,2.68,,,,1.65,3.43,1.38,2.32,5.97,0.85,3.19,6.07,5.21,0.43,3.27,1.81,,,3.61,2.06,,7.99,0.94,,,,2.13,4.05
4/26/2016,2.33,0.99,,,4.83,0.63,2.72,0.98,2.47,2.37,0.0,0.52,1.92,1.14,1.23,3.36,,,5.03,2.78,,,,1.6,3.53,1.26,2.53,5.74,0.88,3.37,5.75,4.87,0.46,3.27,1.81,,,3.63,2.04,,7.41,1.03,,,,2.25,3.85
5/26/2016,2.45,0.94,,,5.46,0.56,2.64,1.01,2.44,2.4,0.0,0.46,1.89,1.16,1.19,3.47,,,4.9,2.85,,,,1.55,3.65,1.2,2.67,5.74,0.88,3.19,6.07,5.26,0.42,3.33,1.78,,,3.48,2.13,,7.57,1.0,,,,2.13,4.11
6/26/2016,2.65,0.87,,,6.73,0.48,2.68,0.99,2.77,2.12,0.0,0.45,2.01,1.09,1.23,3.36,0.0,0.77,4.99,2.8,,,,1.63,3.47,1.24,2.58,6.96,0.73,3.78,5.13,6.03,0.37,3.62,1.66,,,4.1,1.81,,7.27,1.04,,,,2.24,3.92
7/26/2016,2.71,0.85,,,7.36,0.44,2.36,1.73,2.67,2.19,0.0,0.58,1.84,1.2,1.07,3.86,0.0,0.7,4.52,3.1,,,,1.54,3.67,1.15,2.8,6.55,0.77,3.71,5.23,6.41,0.34,3.28,1.84,,,4.44,1.67,,6.86,1.11,,,,2.02,4.34
8/26/2016,3.49,0.93,,,7.56,0.42,2.41,1.7,2.57,2.28,0.0,0.61,2.1,1.06,1.11,3.73,0.0,0.74,4.22,3.31,,,,1.74,3.44,1.16,2.75,5.97,0.85,3.68,4.99,6.36,0.38,3.08,1.96,,,4.04,1.84,,7.59,1.01,,,,2.01,4.35
9/26/2016,3.36,0.97,,,7.56,0.42,2.54,1.62,2.55,2.29,0.0,0.58,1.93,1.15,1.08,3.8,0.0,0.72,4.03,3.47,,,,1.77,3.39,1.11,2.89,6.01,0.84,3.63,5.05,6.07,0.4,3.05,1.98,,,4.09,1.82,,7.97,0.97,,,,2.03,4.31
10/26/2016,3.02,1.08,,,6.53,0.47,2.53,1.62,2.67,2.26,0.0,0.66,1.83,1.21,1.1,3.76,0.0,0.79,3.8,3.68,,,,1.81,3.31,1.12,2.87,5.44,0.93,3.71,4.95,5.9,0.41,2.89,2.08,,,3.54,2.1,,7.36,1.05,,,,2.16,4.06
11/26/2016,3.09,1.05,,,5.43,0.57,2.66,1.54,2.66,2.27,0.0,0.77,1.77,1.25,1.07,3.91,0.0,0.8,3.69,3.8,,,,1.92,3.13,1.16,2.77,5.1,0.99,4.03,4.56,5.43,0.45,2.9,2.08,,,3.46,2.14,,7.2,1.08,,,,2.22,3.95
12/26/2016,2.92,1.11,,,4.94,0.62,2.65,1.55,2.64,2.28,0.0,0.76,1.63,1.36,0.99,4.22,0.0,0.9,3.78,3.7,,,,1.94,3.09,1.1,2.9,4.77,1.06,3.86,4.75,5.04,0.48,2.76,2.14,,,3.23,2.3,,6.57,1.2,,,,2.21,3.96
1/26/2017,2.81,1.07,,,4.98,0.63,2.6,1.69,2.45,2.75,0.0,0.72,1.57,1.41,1.05,4.18,0.0,0.86,3.54,3.12,,,,1.95,3.06,1.06,3.0,4.75,1.05,3.97,5.11,4.91,0.5,2.85,2.17,,,3.02,2.39,,6.6,1.28,,,,2.18,4.52
2/26/2017,3.92,1.04,,,5.25,0.6,2.58,1.71,2.63,2.7,0.0,0.79,1.45,1.53,1.04,4.25,0.0,0.82,4.86,3.3,,,,1.72,3.36,0.97,3.28,5.07,1.0,3.71,5.07,5.39,0.42,2.86,2.17,,,3.49,2.34,,6.94,1.22,,,,2.06,4.99
3/26/2017,3.67,1.12,,,5.34,0.59,2.88,1.67,2.12,3.34,0.0,0.76,1.34,1.65,0.98,4.52,4.8,0.87,4.44,3.61,,,,1.71,3.39,1.21,3.27,4.79,1.06,3.55,5.29,5.12,0.45,2.71,2.29,,,3.35,2.43,,7.05,1.2,,,,2.09,4.98
4/26/2017,3.53,1.16,,,5.48,0.57,2.99,1.61,2.02,3.5,0.0,0.7,1.29,1.73,0.98,4.48,4.7,0.88,3.72,4.32,,,,1.62,3.58,1.1,3.62,4.4,1.15,3.59,5.24,5.08,0.46,2.52,2.46,,,3.44,2.37,,7.01,1.22,,,,2.05,5.08
5/26/2017,3.59,1.14,,,5.9,0.53,2.88,1.67,2.17,3.28,0.0,0.63,1.26,1.76,1.0,4.4,4.66,0.89,3.68,4.36,,,,1.53,3.77,1.11,3.56,4.34,1.17,2.76,5.72,4.81,0.49,2.55,2.43,,,3.64,2.24,,7.1,1.22,,,,2.04,5.09
6/26/2017,3.63,1.13,,,5.93,0.53,3.34,1.44,2.11,3.36,0.0,0.6,1.32,1.68,1.0,4.39,4.3,0.97,3.56,4.51,,,,1.54,3.77,1.15,3.44,4.4,1.16,2.89,5.46,5.08,0.47,2.44,2.57,,,3.68,2.21,,7.33,1.19,,,,2.04,5.1
7/26/2017,3.46,1.18,,,5.47,0.58,3.29,1.46,2.18,3.25,0.0,0.7,1.34,1.65,0.91,4.78,3.95,1.05,3.28,4.89,,,,1.52,3.82,1.15,3.45,4.18,1.22,2.73,5.78,4.47,0.54,2.44,2.57,,,3.66,2.23,,7.34,1.19,,,,2.18,4.78
8/26/2017,4.56,1.16,,,5.24,0.6,3.69,1.3,2.11,3.36,0.0,0.7,1.43,1.52,0.93,4.68,3.88,1.05,3.21,5.0,,,,1.57,3.76,1.09,3.64,4.41,1.15,2.83,5.59,4.62,0.51,2.48,2.53,,,3.86,2.11,,7.28,1.18,,,,2.19,4.76
9/26/2017,4.5,1.18,,,5.3,0.6,3.67,1.31,2.13,3.33,0.0,0.67,1.35,1.61,0.87,4.96,3.81,1.07,3.05,5.26,,,,1.62,3.62,1.07,3.71,4.33,1.18,2.9,5.46,4.56,0.52,2.32,2.71,,,3.63,2.25,,6.68,1.3,,,,2.1,4.95
10/26/2017,4.1,1.29,,,5.07,0.63,3.55,1.36,2.37,3.34,0.0,0.8,1.25,1.73,0.79,5.49,3.58,1.14,2.7,5.95,,,,1.65,3.56,1.03,3.86,4.13,1.23,3.68,5.62,4.29,0.55,2.27,2.76,,,3.63,2.25,,6.52,1.33,,,,1.94,5.16
11/26/2017,4.36,1.22,,,5.09,0.63,3.35,1.44,2.36,3.35,0.0,0.78,1.15,1.89,0.77,5.62,3.65,1.12,2.42,6.63,,,,1.59,3.69,1.06,3.76,4.38,1.18,3.69,5.52,4.44,0.53,2.43,2.58,,,3.77,2.16,,6.32,1.34,,,,2.31,5.36
12/26/2017,4.05,1.31,,,4.91,0.65,3.13,1.5,2.51,3.16,0.0,0.87,1.23,1.76,0.82,5.3,3.7,1.1,2.46,6.51,,,,1.55,3.79,1.06,3.74,4.31,1.2,3.78,5.39,4.31,0.55,2.5,2.51,,,3.67,2.22,,5.95,1.44,,,,2.24,5.53
1/26/2018,3.98,1.33,,,4.62,0.67,3.09,1.55,2.45,1.6,0.0,0.83,1.19,2.23,0.84,5.53,3.59,1.06,2.21,8.49,,,,1.5,3.63,0.99,3.71,4.13,1.24,3.81,6.23,4.06,0.58,2.38,2.62,,,3.26,2.38,,5.76,1.41,,,,2.34,5.42
2/26/2018,5.71,1.23,,,4.81,0.67,3.2,1.5,2.29,1.71,0.23,0.79,1.19,2.23,0.87,5.38,4.4,1.11,5.8,8.6,,,,1.71,3.45,1.03,3.56,4.55,1.12,4.17,5.7,4.56,0.54,2.52,2.47,,,3.21,2.41,,6.36,1.27,,,,2.34,5.42
3/26/2018,6.12,1.15,,,5.01,0.64,3.41,1.55,3.33,1.6,0.26,0.69,1.33,2.28,0.86,5.45,4.77,1.02,5.38,9.28,,,,1.73,3.42,1.25,3.31,4.99,1.02,4.61,5.16,4.69,0.53,2.63,2.37,,,5.07,2.23,,6.48,1.25,,,,2.37,5.34
4/26/2018,5.63,1.25,,,4.43,0.72,3.16,1.68,3.28,1.63,0.23,0.77,1.58,1.92,0.87,5.36,4.22,1.16,7.42,6.72,,,,1.69,3.49,1.22,3.4,4.82,1.06,4.23,5.62,4.21,0.58,2.29,2.72,,,5.25,2.15,,5.72,1.41,,,,2.23,5.7
5/26/2018,6.09,1.16,,,4.81,0.67,3.17,1.67,3.23,1.65,0.23,0.79,1.54,1.97,0.81,5.74,4.29,1.14,7.68,6.5,,,,1.68,3.52,1.15,3.6,5.09,1.0,4.68,5.08,4.28,0.57,2.2,2.83,,,5.19,2.18,,5.4,1.43,,,,2.1,6.03
6/26/2018,6.56,1.07,0.0,24.25,5.27,0.61,3.14,1.69,3.38,1.58,0.25,0.72,1.67,1.82,0.83,5.65,4.77,1.02,9.85,5.07,,,,1.72,3.43,1.1,3.77,5.43,0.94,4.69,5.07,4.72,0.52,2.24,2.79,,,5.49,2.06,,5.4,1.43,,,,2.09,6.06
7/26/2018,6.24,1.13,0.0,29.66,4.95,0.65,2.93,1.81,3.17,1.69,0.24,0.74,1.68,1.81,0.76,6.17,4.4,1.11,11.51,4.34,,,,1.6,3.68,0.99,4.19,5.18,0.99,4.72,5.48,4.51,0.55,2.09,2.98,,,5.17,2.19,,5.45,1.42,,,,1.91,6.65
8/26/2018,6.16,1.14,0.0,30.38,5.4,0.62,2.98,1.78,3.14,1.7,0.25,0.73,1.77,1.55,0.8,5.81,4.2,1.11,12.71,3.93,,,,1.77,3.44,0.98,4.24,5.62,0.91,5.35,4.83,4.59,0.55,2.11,2.95,,,5.11,2.21,,5.59,1.38,,,,1.8,7.03
9/26/2018,6.15,1.15,0.0,33.58,4.9,0.68,3.22,1.65,3.1,1.72,0.24,0.76,1.84,1.49,0.87,5.39,3.48,1.21,12.89,3.87,,,,1.86,3.28,0.93,4.48,5.79,0.88,5.17,4.99,4.35,0.58,2.02,3.09,,,5.88,1.92,2.56,5.37,1.43,,,,1.87,6.78
10/26/2018,6.89,1.02,0.0,26.34,5.35,0.62,3.13,1.61,3.15,1.57,0.3,0.59,2.21,1.24,0.96,4.87,3.76,1.12,13.91,3.59,,,,1.96,3.12,1.07,3.89,6.54,0.78,5.23,4.94,4.56,0.56,2.5,2.49,,,6.4,1.77,2.61,5.84,1.31,,,,1.93,6.31
11/26/2018,6.29,1.12,0.0,23.09,5.57,0.6,2.78,1.81,3.18,1.55,0.32,0.57,2.15,1.28,0.95,4.89,3.77,1.11,12.1,4.12,,,,1.87,3.26,1.05,3.93,6.23,0.83,4.74,5.45,4.49,0.56,2.41,2.58,,,6.47,1.75,2.43,5.99,1.28,,,,1.85,6.54
12/26/2018,7.14,0.99,0.0,20.86,7.0,0.48,2.86,1.76,3.35,1.47,0.36,0.5,2.36,1.16,1.07,4.36,4.35,0.97,13.84,3.61,,,,1.99,3.06,1.13,3.67,7.3,0.71,4.75,5.44,4.98,0.51,2.63,2.33,,,7.11,1.59,2.58,6.39,1.19,,,,1.92,6.31
1/26/2019,6.5,1.08,0.0,22.59,6.15,0.51,2.69,1.97,3.11,2.69,0.32,0.6,1.93,1.28,1.36,4.8,3.94,1.01,10.76,5.78,,,,2.01,2.7,0.98,3.82,6.39,0.77,4.74,5.27,4.55,0.41,2.45,2.4,,,6.45,1.75,2.41,6.15,1.32,,,,1.82,6.32
2/26/2019,7.05,0.99,0.0,22.89,6.18,0.53,2.75,1.93,2.26,2.86,0.87,0.61,2.01,1.54,1.28,5.02,4.56,1.04,7.31,6.13,,,,1.82,3.14,0.89,4.21,5.99,0.82,4.37,5.74,5.0,0.42,2.43,2.57,,,7.2,1.92,2.4,5.78,1.4,,,,1.71,6.73
3/26/2019,7.56,0.93,0.0,23.38,6.77,0.48,2.99,1.97,2.27,2.84,1.0,0.53,2.07,1.49,1.27,5.09,4.74,1.0,7.1,6.31,,,,1.71,3.34,1.18,4.11,6.49,0.76,4.24,5.91,5.26,0.4,2.37,2.64,,,7.68,1.8,2.55,5.71,1.41,,,,1.64,7.03
4/26/2019,6.98,1.0,0.0,24.32,6.25,0.52,3.29,1.79,2.34,2.76,0.92,0.58,1.69,1.84,1.14,5.67,4.44,1.07,6.19,7.24,,,,1.66,3.44,1.13,4.31,6.01,0.82,4.39,5.71,4.92,0.42,2.35,2.66,,,6.59,2.1,2.37,5.66,1.41,,,,1.58,7.3
5/26/2019,7.6,0.92,0.0,24.56,6.97,0.47,3.43,1.72,2.37,2.73,1.26,0.42,1.84,1.69,1.23,5.23,4.99,0.95,7.97,5.62,,,,1.64,3.49,1.07,4.53,6.97,0.71,4.45,5.64,5.26,0.39,2.35,2.66,,,7.15,1.94,2.34,5.86,1.4,,,,1.57,7.35
6/26/2019,7.85,0.89,0.0,22.59,6.75,0.48,3.59,1.64,2.2,2.93,1.14,0.47,1.82,1.7,1.17,5.49,5.0,0.95,7.93,5.65,,,,1.62,3.51,1.0,4.86,6.8,0.72,4.34,5.78,5.42,0.39,2.25,2.8,,,7.15,1.94,2.26,5.67,1.44,,,,1.51,7.61
7/26/2019,7.73,0.9,0.0,24.26,6.4,0.51,3.41,1.73,2.08,3.1,1.18,0.45,1.33,2.12,1.01,6.39,5.03,0.94,6.01,7.45,,,,1.55,3.68,0.99,4.89,6.53,0.75,4.76,5.35,5.51,0.38,2.01,3.03,,,7.17,1.93,2.26,5.82,1.39,,,,1.47,7.86
8/26/2019,8.82,0.77,0.0,21.82,8.71,0.39,3.13,1.74,2.22,2.91,1.44,0.37,1.34,2.11,1.09,5.9,5.58,0.87,6.48,6.91,,,,1.75,3.36,1.32,3.67,8.02,0.61,4.55,5.75,6.58,0.34,2.05,2.98,,,8.14,1.7,2.3,6.68,1.22,,,,1.53,7.55
9/26/2019,8.81,0.77,0.0,20.99,7.95,0.42,2.85,1.91,2.23,2.9,1.41,0.38,1.2,2.35,0.93,6.94,5.41,0.9,5.77,7.76,,,,1.66,3.54,1.21,4.0,7.21,0.68,4.34,6.02,6.16,0.36,1.94,3.16,0.0,4.22,7.43,1.86,2.24,6.26,1.29,,,,1.49,7.72
